=== SHEET: Balance des comptes ===
OPEN BEE FRANCE |  |  |  |  |  |  | Balance des comptes |  |  |  |  | Période du | 2025-01-01 00:00:00 |  | 
 |  |  |  |  |  |  |  |  |  |  |  | au | 2025-09-15 00:00:00 |  | 
 |  |  |  |  |  |  | Complète |  |  |  |  | Tenue de compte : EURO |  |  | 
© Sage - Sage 100 Comptabilité Premium 11.02 |  |  |  |  |  |  | Date de tirage |  | 2025-09-28 00:00:00 |  | 22:01:40 |  | Page : | 1 | 
Numéro
de
compte |  |  |  |  |  |  |  | Mouvements |  |  |  |  | Soldes |  | 
 |  |  |  | Intitulé des comptes |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  | Débit |  |  | Crédit |  | Débit |  | Crédit | 
10130000 |  | CAPITAL SOUSCRIT - APPELÉ, VERSÉ |  |  |  |  |  |  |  | 2243800 |  |  |  | 2243800 | 
10610000 |  | RÉSERVE LÉGALE |  |  |  |  |  |  |  | 10000 |  |  |  | 10000 | 
10680000 |  | AUTRES RÉSERVES |  |  |  |  |  |  |  | 1512284.58 |  |  |  | 1512284.58 | 
12900000 |  | RÉSULTAT EXERCICE (PERTE) |  |  |  |  |  | 589468.54 |  |  |  | 589468.54 |  |  | 
15110000 |  | PROVISIONS POUR LITIGES |  |  |  |  |  | 138107 |  | 185962 |  |  |  | 47855 | 
15180000 |  | PROVISION POUR RISQUES |  |  |  |  |  | 2578977 |  | 3104592.07 |  |  |  | 525615.0699999998 | 
16100000 |  | EMPRUNTS OBLIGATAIRES CONVERTIBLES |  |  |  |  |  |  |  | 2000000 |  |  |  | 2000000 | 
16403000 |  | PRET BPI 150K+300K |  |  |  |  |  | 67749.41 |  | 158345.58 |  |  |  | 90596.16999999998 | 
16422000 |  | PRET SG 83 400 € |  |  |  |  |  | 153.58 |  |  |  | 153.58 |  |  | 
16428000 |  | PRET BP 240 000 € |  |  |  |  |  |  |  | 240000 |  |  |  | 240000 | 
16429000 |  | PRET BPI 150 000 |  |  |  |  |  |  |  | 150000 |  |  |  | 150000 | 
16491000 |  | PGE BP 150 000 € |  |  |  |  |  | 25182.26 |  | 50777.23 |  |  |  | 25594.970000000005 | 
16492000 |  | PGE SG 600 000 € |  |  |  |  |  | 113124.44 |  | 214099.46 |  |  |  | 100975.01999999999 | 
16493000 |  | PGE CE 200 000 € |  |  |  |  |  | 33639.83 |  | 71652.46 |  |  |  | 38012.630000000005 | 
16494000 |  | PRET BPI SG 100000 |  |  |  |  |  | 15000 |  | 55000 |  |  |  | 40000 | 
16495000 |  | PRET BPI |  |  |  |  |  | 28125 |  | 65625 |  |  |  | 37500 | 
16496000 |  | PRET BP 160 000 |  |  |  |  |  | 21209.04 |  | 100688.96 |  |  |  | 79479.92000000001 | 
16497000 |  | PRET SG 250 000 € |  |  |  |  |  | 37894.23 |  | 110589.2 |  |  |  | 72694.97 | 
16498000 |  | PRET BPI SG 500 000 |  |  |  |  |  | 75000 |  | 500000 |  |  |  | 425000 | 
16499000 |  | PRET SG 240 000 € |  |  |  |  |  |  |  | 240000 |  |  |  | 240000 | 
16884000 |  | INTE COUEMP |  |  |  |  |  | 231666.42 |  | 235120.69 |  |  |  | 3454.2699999999895 | 
20300000 |  | FRAIS RECHERCHE ET DÉVELOPPEMENT |  |  |  |  |  | 15300 |  |  |  | 15300 |  |  | 
20500000 |  | CONCESSIONS ET DROITS SIMILAIRES .. |  |  |  |  |  | 10337720.62 |  |  |  | 10337720.62 |  |  | 
20700000 |  | FONDS COMMERCIAL |  |  |  |  |  | 150000 |  |  |  | 150000 |  |  | 
21810000 |  | INSTALLATIONS GÉNÉRALES |  |  |  |  |  | 98093.25 |  |  |  | 98093.25 |  |  | 
21811000 |  | AUTRES IMMOBILISATIONS CORPORELLES |  |  |  |  |  | 2288 |  |  |  | 2288 |  |  | 
21820000 |  | MATÉRIEL DE TRANSPORT |  |  |  |  |  | 114325.76999999999 |  | 4996.21 |  | 109329.55999999998 |  |  | 
21830000 |  | MATÉRIEL DE BUREAU & INFORMATIQUE |  |  |  |  |  | 228772.72999999998 |  |  |  | 228772.72999999998 |  |  | 
26100000 |  | TITRES OPEN BEE TUNISIE |  |  |  |  |  | 634545.08 |  |  |  | 634545.08 |  |  | 
27100000 |  | PARTS SOCIALES BANQUE POPULAIRE |  |  |  |  |  | 6560 |  |  |  | 6560 |  |  | 
27200000 |  | PARTS SOCIALES BANQUE POPULAIRE |  |  |  |  |  | 160 |  |  |  | 160 |  |  | 
27500000 |  | DÉPÔTS ET CAUTIONNEMENTS VERSÉS |  |  |  |  |  | 46278.96 |  |  |  | 46278.96 |  |  | 
27510000 |  | FONDS DE GARANTIE FACTOR |  |  |  |  |  | 124502.99 |  | 3045.37 |  | 121457.62000000001 |  |  | 
27610000 |  | GAGE ESP RETENUE/EMPRUNT |  |  |  |  |  | 15000 |  |  |  | 15000 |  |  | 
28030000 |  | AMORT. FRAIS DE RECHERCHE ET DÉVEL. |  |  |  |  |  | 739.5 |  | 16039.5 |  |  |  | 15300 | 
28050000 |  | AMORT. CONCESSIONS ET DROITS ... |  |  |  |  |  | 1390127.16 |  | 6314721.95 |  |  |  | 4924594.79 | 
28181000 |  | AMORT. INSTALLATIONS GÉNÉRALES |  |  |  |  |  | 20970.22 |  | 81868.97 |  |  |  | 60898.75 | 
28181100 |  | AMORT. AUTRES IMMO CORPORELLES |  |  |  |  |  | 527.64 |  | 721.11 |  |  |  | 193.47000000000003 | 
28182000 |  | AMORT. MATÉRIEL DE TRANSPORT |  |  |  |  |  | 53233.75 |  | 125408.73999999999 |  |  |  | 72174.98999999999 | 
28183000 |  | AMORT. MATÉRIEL DE BUREAU & INFO. |  |  |  |  |  | 39699.2 |  | 234049.86 |  |  |  | 194350.65999999997 | 
40100000 |  | FOURNISSEURS |  |  |  |  |  | 6687206.890000001 |  | 7448712.02 |  |  |  | 761505.129999999 | 
40810000 |  | FOURNISSEURS - FACT NON PARVENUES |  |  |  |  |  | 1511782.56 |  | 2156043.98 |  |  |  | 644261.4199999999 | 
40910000 |  | FOURNISSEURS - AVANCES ET ACOMPTES |  |  |  |  |  | 2356 |  | 580 |  | 1776 |  |  | 
41100000 |  | CLIENTS |  |  |  |  |  | 7301983.449999999 |  | 6535534.78 |  | 766448.669999999 |  |  | 
41600000 |  | CLIENTS DOUTEUX OU LITIGIEUX |  |  |  |  |  | 83433.21 |  | 44802.14 |  | 38631.07000000001 |  |  | 
41810000 |  | CLIENTS - FACTURES À ÉTABLIR |  |  |  |  |  | 29733570.36 |  | 29733570.36 |  |  |  |  | 
41980000 |  | R.R.R. À ACCORDER ET AVOIRS ÉTABL. |  |  |  |  |  | 78831.18 |  | 78831.18 |  |  |  |  | 
42100000 |  | PERSONNEL - RÉMUNÉRATIONS DUES |  |  |  |  |  | 1684038.65 |  | 1918453.39 |  |  |  | 234414.74 | 
42500000 |  | PERSONNEL - AVANCES ET ACOMPTES |  |  |  |  |  | 103194.13 |  | 30203.16 |  | 72990.97 |  |  | 
42700000 |  | PERSONNEL - OPPOSITIONS |  |  |  |  |  | 8949.42 |  | 9197.8 |  |  |  | 248.3799999999992 | 
42820000 |  | DETTES PROV. CONGÉS PAYÉS |  |  |  |  |  | 2438330.83 |  | 2438330.83 |  |  |  |  | 
42830000 |  | PROVISION S/ PRIMES ET OBJECTIFS |  |  |  |  |  | 64995 |  | 64995 |  |  |  |  | 
42850000 |  | PROVISION S/ COMMISSIONS |  |  |  |  |  | 202184 |  | 202184 |  |  |  |  | 
42860000 |  | AUTRES CHARGES À PAYER |  |  |  |  |  | 149204.14 |  | 149204.14 |  |  |  |  | 
43100000 |  | SÉCURITÉ SOCIALE |  |  |  |  |  | 926423.04 |  | 1511138.75 |  |  |  | 584715.71 | 
43702000 |  | PREVOYANCE |  |  |  |  |  | 28724.8 |  | 38401.81 |  |  |  | 9677.009999999998 | 
43708000 |  | COTIS. ADESAT ET DIVERS |  |  |  |  |  |  |  | 1203.46 |  |  |  | 1203.46 | 
43733000 |  | CAISSE DE RETRAITE CADRE |  |  |  |  |  | 302967.78 |  | 465011.85 |  |  |  | 162044.06999999995 | 
43780000 |  | MUTUELLE |  |  |  |  |  | 59420.98 |  | 79680.55 |  |  |  | 20259.57 | 
43820000 |  | CHARGES SUR CONGÉS À PAYER |  |  |  |  |  | 994552.63 |  | 994552.63 |  |  |  |  | 
43860000 |  | ORGANISMES - AUTRES CHARGES À PAYER |  |  |  |  |  | 184091.61 |  | 184091.61 |  |  |  |  | 
43870000 |  | ORGANISMES - PROD. À RECEVOIR |  |  |  |  |  | 16736.73 |  | 15210.09 |  | 1526.6399999999994 |  |  | 
44210000 |  | PAS |  |  |  |  |  | 172776.12 |  | 195188.87 |  |  |  | 22412.75 | 
44400000 |  | ETAT IMPÔTS SUR LES BÉNÉFICES |  |  |  |  |  | 1026655 |  | 695991 |  | 330664 |  |  | 
44520000 |  | TVA DUE INTRACOMMUNAUTAIRE |  |  |  |  |  | 1345.57 |  | 12254.85 |  |  |  | 10909.28 | 
44521000 |  | TVA DUE S/ACQ IMPORT |  |  |  |  |  | 109965.81 |  | 146862.21 |  |  |  | 36896.399999999994 | 
44526900 |  | TVA DED. ACQUISITIONS INTRACO |  |  |  |  |  | 3370.53 |  | 1367.23 |  | 2003.3000000000002 |  |  | 
44526910 |  | TVA DED S/ACQ IMPORT |  |  |  |  |  | 144862.18 |  | 109431.14 |  | 35431.03999999999 |  |  | 
44551000 |  | TVA À DÉCAISSER |  |  |  |  |  | 378042.59 |  | 394219.08999999997 |  |  |  | 16176.499999999942 | 
44562000 |  | TVA DÉDUCTIBLE S/IMMOBILISATIONS |  |  |  |  |  | 2239.18 |  | 877.6 |  | 1361.58 |  |  | 
44562690 |  | TVA DED INTRACOM |  |  |  |  |  | 9277.03 |  | 983.79 |  | 8293.240000000002 |  |  | 
44562691 |  | TVA DED S/ACQ IMPORT |  |  |  |  |  | 1094.31 |  | 86231.6 |  |  |  | 85137.29000000001 | 
44566000 |  | TVA DÉDUCTIBLE S/ ABS 20% |  |  |  |  |  | 734568.51 |  | 619697.02 |  | 114871.48999999999 |  |  | 
44566300 |  | TVA DED ENCAISSEMENTS INTRACOMM |  |  |  |  |  | 983.33 |  |  |  | 983.33 |  |  | 
44566400 |  | TVA DED DEBIT AUTO LIQUIDATI EXPORT |  |  |  |  |  | 86231.1 |  |  |  | 86231.1 |  |  | 
44570000 |  | TVA COLLECTEE S/MATERIELS |  |  |  |  |  | 44035.04 |  |  |  | 44035.04 |  |  | 
44571000 |  | TVA COLL. S/PREST SERVICES |  |  |  |  |  | 959085.71 |  | 1347602.8199999998 |  |  |  | 388517.10999999987 | 
44571190 |  | TVA COLL. VENTES À 8,5 % |  |  |  |  |  | 13051.11 |  | 21555.489999999998 |  |  |  | 8504.379999999997 | 
44580000 |  | ETAT - TVA À RÉGULARISER |  |  |  |  |  |  |  | 71481 |  |  |  | 71481 | 
44586000 |  | TVA SUR FACTURES NON PARVENUES |  |  |  |  |  | 195139.96 |  | 101702.4 |  | 93437.56 |  |  | 
44587000 |  | TVA SUR FACTURES À ÉTABLIR |  |  |  |  |  | 4955594.73 |  | 4955594.7299999995 |  |  |  |  | 
44587100 |  | TVA SUR AVOIRS À ÉTABLIR |  |  |  |  |  | 13138.53 |  | 13138.53 |  |  |  |  | 
44700000 |  | AUTRES IMPÔTS ET VERS.ASSIM |  |  |  |  |  | 1918 |  |  |  | 1918 |  |  | 
44860000 |  | ETAT - AUTRES CHARGES À PAYER |  |  |  |  |  |  |  | 26907 |  |  |  | 26907 | 
44862000 |  | TAXE D'APPRENTISSAGE |  |  |  |  |  |  |  | 5497.47 |  |  |  | 5497.47 | 
44863000 |  | FORMATION CONTINUE |  |  |  |  |  | 4048.62 |  | 9675.869999999999 |  |  |  | 5627.249999999999 | 
44864000 |  | EFFORT CONSTRUCTION |  |  |  |  |  |  |  | 27750.940000000002 |  |  |  | 27750.940000000002 | 
44870000 |  | ETATS - PROD. À RECEVOIR |  |  |  |  |  | 1000 |  | 1000 |  |  |  |  | 
45120000 |  | EXO B CAPITAL |  |  |  |  |  | 33765.45 |  |  |  | 33765.45 |  |  | 
45530000 |  | COMPTE COURANT - DOXSA |  |  |  |  |  | 100000 |  | 942213.01 |  |  |  | 842213.01 | 
45540000 |  | COMPTE COURANT - EXO B CAPITAL |  |  |  |  |  |  |  | 3607.53 |  |  |  | 3607.53 | 
46700000 |  | AUTRES COMPTES DÉBITEURS/CRÉDITEURS |  |  |  |  |  | 723404.37 |  | 542185.52 |  | 181218.84999999998 |  |  | 
46710000 |  | FACTOR CREANCES FRANCE 12301 |  |  |  |  |  | 131640.11 |  | 131640.11 |  |  |  |  | 
46720000 |  | MB2I |  |  |  |  |  | 8422.11 |  | 11646.03 |  |  |  | 3223.92 | 
46725000 |  | EXO B CONSULTING |  |  |  |  |  | 11963.6 |  |  |  | 11963.6 |  |  | 
46740000 |  | SCI MONNOURS |  |  |  |  |  | 524 |  | 524 |  |  |  |  | 
47100000 |  | COMPTE D'ATTENTE |  |  |  |  |  | 788.4 |  | 1065.6 |  |  |  | 277.19999999999993 | 
48600000 |  | CHARGES CONSTATÉES D'AVANCE |  |  |  |  |  | 489069.10000000003 |  | 377930.16 |  | 111138.94000000006 |  |  | 
48700000 |  | PRODUITS CONSTATÉS D'AVANCE |  |  |  |  |  | 2151671.43 |  | 2151671.43 |  |  |  |  | 
49100000 |  | PROV. COMPTES DE CLIENTS |  |  |  |  |  |  |  | 37811.97 |  |  |  | 37811.97 | 
51212000 |  | BANQUE POPULAIRE |  |  |  |  |  | 992541.41 |  | 991739.98 |  | 801.4300000000512 |  |  | 
51216000 |  | CIC LYONNAISE DE BANQUE |  |  |  |  |  | 448131.03 |  | 440435.51 |  | 7695.520000000019 |  |  | 
51217000 |  | SOCIETE GENERALE |  |  |  |  |  | 5672393.82 |  | 5667752.72 |  | 4641.100000000559 |  |  | 
51218000 |  | SOCIETE GENERALE $ |  |  |  |  |  | 108488.95000000001 |  | 102847.35 |  | 5641.600000000006 |  |  | 
51222000 |  | CAISSE D'EPARGNE |  |  |  |  |  | 1882355.78 |  | 1882133.65 |  | 222.13000000012107 |  |  | 
51223000 |  | CARTES ANYTIME |  |  |  |  |  | 82.55 |  |  |  | 82.55 |  |  | 
51860000 |  | BANQUE - CHARGES À PAYER |  |  |  |  |  | 4889.25 |  | 7289.25 |  |  |  | 2400 | 
58000000 |  | MOUVEMENTS DE FONDS |  |  |  |  |  | 1617997.04 |  | 1617997.04 |  |  |  |  | 
60400000 |  | ACHATS ETUDES/PRESTATIONS SERVICES |  |  |  |  |  | 973970.06 |  | 373805.24 |  | 600164.8200000001 |  |  | 
60405000 |  | ACHAT PRESTA INTRACOM |  |  |  |  |  | 15697.88 |  | 8540 |  | 7157.879999999999 |  |  | 
60409000 |  | PRESTATIONS TUNISIE |  |  |  |  |  | 1258665 |  | 571665 |  | 687000 |  |  | 
60409100 |  | AUTRES PRESTATIONS HORS CEE |  |  |  |  |  | 10235.3 |  |  |  | 10235.3 |  |  | 
60610000 |  | EAU, ÉLECTRICITÉ ... |  |  |  |  |  | 2876.14 |  | 773.83 |  | 2102.31 |  |  | 
60615000 |  | CARBURANT DIRECTION |  |  |  |  |  | 49492.56 |  |  |  | 49492.56 |  |  | 
60630000 |  | FOURNITURES ENTRETIEN, PETIT ÉQUIP. |  |  |  |  |  | 2966.17 |  |  |  | 2966.17 |  |  | 
60635000 |  | PETIT OUTILLAGE IMPORT |  |  |  |  |  | 398.53 |  |  |  | 398.53 |  |  | 
60639000 |  | PETITS OUTILLAGES AIC |  |  |  |  |  | 7184.93 |  |  |  | 7184.93 |  |  | 
60640000 |  | FOURNITURES ADMINISTRATIVES |  |  |  |  |  | 744.23 |  | 401.56 |  | 342.67 |  |  | 
60640500 |  | ACHAT FOURNITURES IMPORT |  |  |  |  |  | 7.52 |  |  |  | 7.52 |  |  | 
60649000 |  | FOURNITURES ADMIN AIC |  |  |  |  |  | 219.34 |  |  |  | 219.34 |  |  | 
61100000 |  | SOUS-TRAITANCE GÉNÉRALE SIGNATURE |  |  |  |  |  | 99395.76 |  | 38418.28 |  | 60977.479999999996 |  |  | 
61110000 |  | SOUS-TRAITANCE ADMIN GENERALE |  |  |  |  |  | 36570.4 |  | 9098.61 |  | 27471.79 |  |  | 
61190000 |  | SOUS TRAITANCE IMPORT |  |  |  |  |  | 5289.99 |  |  |  | 5289.99 |  |  | 
61261000 |  | BNP PARIBAS - Financ. ALTICAP |  |  |  |  |  | 4098.42 |  |  |  | 4098.42 |  |  | 
61262000 |  | LIXXBAIL |  |  |  |  |  | 63706.22 |  |  |  | 63706.22 |  |  | 
61263000 |  | LIXXBAIL |  |  |  |  |  | 111868.16 |  |  |  | 111868.16 |  |  | 
61264000 |  | REALEASE Capital |  |  |  |  |  | 64136.34 |  |  |  | 64136.34 |  |  | 
61265000 |  | LIXXBAIL - LOGICIELS |  |  |  |  |  | 51314.31 |  |  |  | 51314.31 |  |  | 
61296000 |  | CREDIPAR - FY-471-XL |  |  |  |  |  | 3023.3 |  |  |  | 3023.3 |  |  | 
61297000 |  | CREDIPAR - GA-074-HF |  |  |  |  |  | 4233.88 |  |  |  | 4233.88 |  |  | 
61298000 |  | CREDIPAR - GA-184-YA |  |  |  |  |  | 4061.68 |  |  |  | 4061.68 |  |  | 
