=== SHEET: OPEN BEE ===
OPEN BEE |  |  |  |  |  |  |  |  |  |  | 
2025-08-31 00:00:00 |  |  |  |  |  |  |  |  |  |  | 
Emprunts |  |  |  |  |  |  |  |  |  |  | 
N°Pièce | Banque | Type | Date | N° contrat | Taux | Périodicité | Date fin | Prochaine échéance | Montant échéance à échoir | CRD | 
164030 | BPI | BPI 300000€ | 2018-12-31 00:00:00 | DOS0080505/00 | 0.032 | Trimestrielle | 2026-06-30 00:00:00 | 2025-09-30 00:00:00 | 15240 | 60000 | 
164030 | BPI | BPI 150000€ | 2018-12-31 00:00:00 | DOS0080504/00 | 0.0099 | Trimestrielle | 2026-06-30 00:00:00 | 2025-09-30 00:00:00 | 7696.43 | 30596.17 | 
164280 | Banque Pop | BP 240000 € | 2022-03-01 00:00:00 | *7344039 | 0.041 | Trimestrielle | 2030-02-22 00:00:00 | 2025-11-22 00:00:00 | 2460 | 240000 | Intérêts uniquement / Rbt Capital différé au 22/05/2026
164290 | BPI | BPI 150000€ | 2025-05-01 00:00:00 | DOS0207706/00 | 0.0405 | Trimestrielle | 2030-09-30 00:00:00 | 2025-09-30 00:00:00 | 1518.75 | 150000 | Intérêts uniquement / Rbst Capital différé au 31/12/2025
164910 | Banque Pop | PGE 150000 € | 2020-04-01 00:00:00 | *05910714 | 0.0073 | Mensuelle | 2026-04-30 00:00:00 | 2025-09-30 00:00:00 | 3232.43 | 25594.97 | 
164920 | SG | PGE 600000 € | 2020-05-01 00:00:00 | 220135106355 | 0.0058 | Mensuelle | 2026-05-04 00:00:00 | 2025-09-04 00:00:00 | 12859.19 | 100975.02 | 
164930 | Caisse Epargne | PGE 200000 € | 2020-05-01 00:00:00 | *5928437 | 0.0073 | Mensuelle | 2026-05-22 00:00:00 | 2025-09-22 00:00:00 | 4309.9 | 38012.63 | 
164940 | BPI | BPI PTZ 100000 € | 2021-10-01 00:00:00 | DOS0116384/00 | 0 | Trimestrielle | 2027-06-30 00:00:00 | 2025-09-30 00:00:00 | 5000 | 40000 | 
164950 | BPI | BPI 150000€ | 2023-05-01 00:00:00 | DOS0116385/00 | 0.0175 | Trimestrielle | 2026-07-31 00:00:00 | 2025-10-31 00:00:00 | 9849.61 | 37500 | 
164960 | Banque Pop | BP 160000 € | 2022-01-01 00:00:00 | *7333431 | 0.0215 | Trimestrielle | 2028-01-06 00:00:00 | 2025-09-06 00:00:00 | 2814.95 | 79479.92 | 
164970 | SG  | SG 250000 € | 2022-01-01 00:00:00 | 222014101177 | 0.0151 | Mensuelle | 2027-02-07 00:00:00 | 2025-09-07 00:00:00 | 4328.56 | 76926.65 | 
164980 | BPI | BPI 500000 € | 2022-06-01 00:00:00 | DOS0172463/00 | 0.007 | Trimestrielle | 2029-09-30 00:00:00 | 2025-09-30 00:00:00 | 25743.75 | 425000 | 
164990 | SG | SG 240000 € | 2022-03-01 00:00:00 | 222038100411 | 0.045 | Trimestrielle | 2030-02-17 00:00:00 | 2025-11-17 00:00:00 | 2730 | 240000 | Intérêts uniquement / Rbst  Capital différé au 17/05/2026
 |  |  |  |  |  |  |  |  | 97783.57 | 1544085.36 | 
