Bloc_slide;Periode;Serie;Valeur;Unite;Nature
Tailwind 1 - ARR trend;1Q23;ARR_exit_kEUR;19960;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;2Q23;ARR_exit_kEUR;21134;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;3Q23;ARR_exit_kEUR;22464;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;4Q23;ARR_exit_kEUR;23871;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;1Q24;ARR_exit_kEUR;25423;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;2Q24;ARR_exit_kEUR;27148;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;3Q24;ARR_exit_kEUR;29030;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;4Q24;ARR_exit_kEUR;31054;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;1Q25;ARR_exit_kEUR;33269;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;2Q25;ARR_exit_kEUR;35660;kEUR;SYNTHETIQUE
Tailwind 1 - ARR trend;3Q25;ARR_exit_kEUR;38304;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2021;Direct_revenues_kEUR;8500;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2021;Partner_revenues_kEUR;2100;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2021;Certified_partners_end_period;72;nombre;SYNTHETIQUE
Tailwind 3 - Channel growth;2022;Direct_revenues_kEUR;9900;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2022;Partner_revenues_kEUR;2750;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2022;Certified_partners_end_period;92;nombre;SYNTHETIQUE
Tailwind 3 - Channel growth;2023;Direct_revenues_kEUR;11800;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2023;Partner_revenues_kEUR;3650;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2023;Certified_partners_end_period;119;nombre;SYNTHETIQUE
Tailwind 3 - Channel growth;2024;Direct_revenues_kEUR;14100;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2024;Partner_revenues_kEUR;4720;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2024;Certified_partners_end_period;153;nombre;SYNTHETIQUE
Tailwind 3 - Channel growth;2025;Direct_revenues_kEUR;16800;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2025;Partner_revenues_kEUR;6150;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2025;Certified_partners_end_period;194;nombre;SYNTHETIQUE
Tailwind 3 - Channel growth;2026;Direct_revenues_kEUR;19800;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2026;Partner_revenues_kEUR;7950;kEUR;SYNTHETIQUE
Tailwind 3 - Channel growth;2026;Certified_partners_end_period;240;nombre;SYNTHETIQUE
