ts,signal_type,city,pocket,buy_price,size_usdc,pnl,won
1775403493.948341,PROB_NO,shanghai,PROB_NO_SAFE,0.62,50.0,30.5402,1
1775403493.9492538,COLDMATH_NO,shanghai,COLDMATH_NO_MID,0.9285,50.0,3.7453,1
1775403493.94957,COLDMATH_NO,shanghai,COLDMATH_NO_EXTREME_WIDE,0.9785,50.0,-50.105,0
1775403493.951075,PROB_NO,seoul,PROB_NO_SAFE,0.655,50.0,26.2309,1
1775403493.951948,COLDMATH_NO,seoul,COLDMATH_NO_EXTREME_WIDE,0.9675,50.0,1.5746,1
1775403493.952258,COLDMATH_NO,seoul,COLDMATH_NO_EXTREME_WIDE,0.9835,50.0,0.7338,1
1775403493.952582,COLDMATH_NO,london,COLDMATH_NO_EXTREME_TIGHT,0.9975,50.0,0.0203,1
1775403493.953353,PROB_NO,london,PROB_NO_SAFE,0.545,50.0,41.6381,1
1775403493.95379,COLDMATH_NO,london,COLDMATH_NO_EXTREME_TIGHT,0.9625,50.0,1.8431,1
1775403493.954012,COLDMATH_NO,london,COLDMATH_NO_EXTREME_TIGHT,0.9945,50.0,0.1715,1
1775403493.954242,COLDMATH_NO,london,COLDMATH_NO_EXTREME_TIGHT,0.995,50.0,0.1463,1
1775403493.95446,COLDMATH_NO,london,COLDMATH_NO_EXTREME_TIGHT,0.9925,50.0,0.2728,1
1775403493.9546912,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_WIDE,0.9875,50.0,0.5279,1
1775403493.954911,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_WIDE,0.982,50.0,0.8115,1
1775403493.9555259,PROB_NO,new york city,PROB_NO_SAFE,0.645,50.0,-50.105,0
1775403493.9561448,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_WIDE,0.9705,50.0,1.4148,1
1775403493.956358,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_WIDE,0.9785,50.0,0.9936,1
1775403493.9565718,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_WIDE,0.993,28.57,0.161,1
1775403493.956783,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_WIDE,0.9935,15.38,0.0854,1
1775403493.957528,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_WIDE,0.966,50.0,1.6548,1
1775403493.9594219,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_TIGHT,0.9895,50.0,0.4256,1
1775403493.9596338,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_TIGHT,0.9915,50.0,0.3236,1
1775403493.9598489,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_TIGHT,0.961,50.0,1.9241,1
1775403493.960054,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_TIGHT,0.9545,50.0,2.2784,1
1775403493.961184,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_TIGHT,0.9635,50.0,1.7891,1
1775403493.961353,COLDMATH_NO,new york city,COLDMATH_NO_MID,0.936,50.0,3.3138,1
1775403493.961521,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_TIGHT,0.9685,50.0,1.5212,1
1775403493.961685,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_TIGHT,0.966,50.0,1.6548,1
1775403493.961859,COLDMATH_NO,new york city,COLDMATH_NO_MID,0.925,50.0,-50.105,0
1775403493.962938,COLDMATH_NO,new york city,COLDMATH_NO_EXTREME_TIGHT,0.9675,50.0,1.5746,1
1775403493.963105,COLDMATH_NO,new york city,COLDMATH_NO_MID,0.935,50.0,3.3709,1
1775403493.964449,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_WIDE,0.9725,50.0,1.3089,1
1775403493.9646232,COLDMATH_YES,chicago,COLDMATH_YES_CERT,0.967,50.0,1.6013,1
1775403493.965751,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_WIDE,0.955,50.0,2.251,1
1775403493.9658911,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_WIDE,0.9845,50.0,0.6822,1
1775403493.966039,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_WIDE,0.9935,15.38,0.0854,1
1775403493.966323,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.994,50.0,0.1968,1
1775403493.966463,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.9935,50.0,0.2221,1
1775403493.966603,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.9885,50.0,0.4767,1
1775403493.9667509,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.966,50.0,1.6548,1
1775403493.967537,COLDMATH_NO,chicago,COLDMATH_NO_MID,0.93,50.0,3.6584,1
1775403493.96768,COLDMATH_NO,chicago,COLDMATH_NO_MID,0.935,50.0,3.3709,1
1775403493.967823,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.9955,50.0,0.121,1
1775403493.967963,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.994,50.0,0.1968,1
1775403493.968101,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.9955,50.0,0.121,1
1775403493.968241,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.995,50.0,0.1463,1
1775403493.968382,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.9965,50.0,0.0706,1
1775403493.968522,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.994,50.0,0.1968,1
1775403493.968663,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.9945,50.0,0.1715,1
1775403493.9688041,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.9935,50.0,0.2221,1
1775403493.968927,COLDMATH_NO,chicago,COLDMATH_NO_EXTREME_TIGHT,0.9935,50.0,0.2221,1
1775403493.969172,COLDMATH_YES,chicago,COLDMATH_YES_CERT,0.9755,50.0,1.1508,1
