Pays,Clics,Impressions,CTR,Position
France,316,9171,3.45%,13.32
Royaume-Uni,3,101,2.97%,10.67
Suisse,3,77,3.9%,7.82
États-Unis,2,4582,0.04%,6.82
Maroc,2,40,5%,6.92
Espagne,1,106,0.94%,7.92
Belgique,1,64,1.56%,9.34
Italie,1,57,1.75%,8.39
Monaco,1,6,16.67%,8
Guadeloupe,1,5,20%,9.4
Lettonie,1,3,33.33%,5
Liechtenstein,1,1,100%,4
Canada,0,249,0%,7.51
Brésil,0,189,0%,6.68
Inde,0,83,0%,7.92
Allemagne,0,75,0%,7.96
Pays-Bas,0,49,0%,6.9
Chine,0,46,0%,6.26
Mexique,0,44,0%,7.02
Vietnam,0,42,0%,8.6
Indonésie,0,36,0%,9.22
Argentine,0,29,0%,6.28
Turquie,0,28,0%,6.93
Australie,0,28,0%,6.96
Colombie,0,27,0%,8
Iran,0,23,0%,7
Hong-Kong,0,23,0%,8.09
Israël,0,22,0%,6
Ukraine,0,21,0%,5.81
Pologne,0,20,0%,7.25
Luxembourg,0,20,0%,20.05
Algérie,0,19,0%,7.26
Japon,0,18,0%,5.94
Singapour,0,18,0%,7.06
Portugal,0,17,0%,10.06
Corée du Sud,0,16,0%,9
Grèce,0,16,0%,11.69
Thaïlande,0,15,0%,7.4
Émirats Arabes Unis,0,14,0%,5.86
Pérou,0,14,0%,7.57
Tunisie,0,14,0%,19.93
Suède,0,13,0%,4.85
Côte d'Ivoire,0,13,0%,6.92
Équateur,0,13,0%,7
Malaisie,0,12,0%,7.42
Réunion (Île de la),0,12,0%,17.83
Russie,0,11,0%,7
Roumanie,0,10,0%,6.2
Albanie,0,9,0%,4.11
Martinique,0,9,0%,6.44
Venezuela,0,9,0%,7.33
République Dominicaine,0,9,0%,7.56
Irlande,0,9,0%,8.11
Jordanie,0,9,0%,8.78
Chili,0,9,0%,10.56
Hongrie,0,9,0%,10.56
Arabie Saoudite,0,8,0%,6.25
Norvège,0,8,0%,6.75
Autriche,0,8,0%,13.62
Nouvelle-Zélande,0,7,0%,5.71
Taïwan,0,7,0%,5.71
Danemark,0,7,0%,6
Porto Rico,0,7,0%,6.14
Pakistan,0,7,0%,7.14
République démocratique du Congo,0,6,0%,3.17
Égypte,0,6,0%,4.83
Irak,0,6,0%,5.33
Philippines,0,6,0%,7.83
Géorgie,0,6,0%,8.33
Kazakhstan,0,6,0%,9.67
Jamaïque,0,6,0%,13.5
Bulgarie,0,6,0%,24.17
Afrique du Sud,0,5,0%,6
République tchèque,0,5,0%,6.4
Ouzbékistan,0,5,0%,6.8
Nigéria,0,5,0%,7.4
Bangladesh,0,5,0%,9.2
Oman,0,5,0%,10.4
Panama,0,5,0%,11.4
Ouganda,0,4,0%,3.75
Paraguay,0,4,0%,5.75
Biélorussie,0,4,0%,6.75
Croatie,0,4,0%,6.75
Lituanie,0,4,0%,7.5
Cuba,0,4,0%,8.5
Burundi,0,3,0%,1.67
Slovaquie,0,3,0%,6.67
Finlande,0,3,0%,7.33
Bosnie-Herzégovine,0,3,0%,8.33
Népal,0,3,0%,9.67
Serbie,0,3,0%,10.67
Cameroun,0,3,0%,32
Mali,0,3,0%,58.67
Belize,0,2,0%,2
Haïti,0,2,0%,2
Slovénie,0,2,0%,3.5
Jersey,0,2,0%,4
El Salvador,0,2,0%,4.5
Bénin,0,2,0%,5
Libye,0,2,0%,5
Liban,0,2,0%,5.5
Trinité-et-Tobago,0,2,0%,5.5
Estonie,0,2,0%,6
Azerbaïdjan,0,2,0%,7
Guatemala,0,2,0%,7
Éthiopie,0,2,0%,7.5
Moldavie,0,2,0%,7.5
Uruguay,0,2,0%,7.5
Bahamas,0,2,0%,8.5
Honduras,0,2,0%,8.5
Syrie,0,2,0%,8.5
Gabon,0,2,0%,9.5
Qatar,0,2,0%,9.5
Costa Rica,0,2,0%,11
Malte,0,2,0%,11
Kenya,0,2,0%,12
Malawi,0,2,0%,13
Sénégal,0,2,0%,24.5
Madagascar,0,2,0%,40.5
Antigua-et-Barbuda,0,1,0%,1
Monténégro,0,1,0%,1
Mozambique,0,1,0%,2
Bermudes,0,1,0%,3
Surinam,0,1,0%,3
Saint-Barthélemy,0,1,0%,4
Curaçao,0,1,0%,4
Sri Lanka,0,1,0%,5
Région inconnue,0,1,0%,6
Djibouti,0,1,0%,7
Guyane,0,1,0%,7
Laos,0,1,0%,7
Palestine,0,1,0%,7
Zimbabwe,0,1,0%,7
Afghanistan,0,1,0%,8
Arménie,0,1,0%,8
Bhutan,0,1,0%,8
Nicaragua,0,1,0%,8
Zambie,0,1,0%,8
Rwanda,0,1,0%,9
Angola,0,1,0%,11
Maurice (Île),0,1,0%,11
Burkina Faso,0,1,0%,12
Macédoine,0,1,0%,17
