"dossier_folder","dossier_id","nom_societe","forme_juridique","capital_social_eur","rcs","adresse_siege","nom_commercial","activite","type_procedure","date_ouverture","tribunal","administrateur_judiciaire","cabinet_aj","adresse_aj","mandataire_judiciaire","cabinet_mj","juge_commissaire","dldo","effectif_total","nb_offres_recues","filiales","secteur","notes"
"01 - SARL FRAN AND JO","01","SARL FRAN AND JO","SARL","10000","842467383","24 rue de Clichy, 75009 Paris","Bonjour Bonsoir","Exploitation d'un fonds de commerce de Bar Brasserie sis 48 avenue Trudaine 75009 PARIS (adresse du fonds, indiquée également à 43 avenue Trudaine 75009 PARIS au point 4.2.1)","Redressement judiciaire","2025-03-27","Tribunal des activités économiques de Paris","Maître Stéphane MARTIN","Non précisé (Administrateur judiciaire)","","Maître Stéphane-Alexis MARTIN","SELARL ACTIS MANDATAIRES JUDICIAIRES","","","1","","Bar Brasserie / Restauration","Prêt Banque Populaire initial 390000€, capital restant dû au 18/03/2025 : 98071,67€ (transfert charge des sûretés art. L.642-12 al.4). Offre de reprise déposée 17/09/2025 par M. Malo BOUCHARDEAU via Century 21 Horeca (M. Jean-Paul EUSEBIO). 1 salarié cuisinier.",""
"01 - SAS à associé unique CLUB GRANDS BOULEVARDS","CGB","CLUB GRANDS BOULEVARDS","SAS à associé unique","","878867654","5-7 rue du Faubourg Poissonnière, 75009 Paris","EASYGYM","Salle de sport - club de remise en forme, fitness, musculation, gymnastique","Redressement judiciaire","2024-10-02","Tribunal des activités économiques de Paris","Maître Marine PACE","SELARL 2M&ASSOCIES (AJ2M)","22 rue de l'Arcade, 75008 Paris","Maître Lucile JOUVE","SELAFA MJA","","2025-09-17","11","5","","Salle de sport / Fitness","Enseigne EASYGYM. Bail commercial 5-7 rue du Faubourg Poissonnière conclu avec SOCIETE IMMOBILIERE PAPILLON, loyer annuel ~500 000€ HT/HC. Effectif 11 = 9 CDI + 2 apprentis (4 coachs sportifs, 1 manager, 4 personnel accueil/commercial, 2 apprentis commercial). Sûretés inscrites sur le fonds de commerce : publication contrat location PEAC France 02/02/2022 (796 506,93€), crédit-bail mobilier DE LAGE LANDEN LEASING SAS sur matériel TECHNOGYM 28/04/2021 (129 525€), nantissements BNP PARIBAS 23/02/2022 (81 600€) + IMMOBILIERE PAPILLON 11/05/2023 (782 578€) + CAISSE DE CREDIT AGRICOLE MUTUEL DE PARIS ET D'ILE DE FRANCE 07/06/2023 (510 000€). 5 offres reçues sur 3 candidats distincts : (1) WS HOLDING/Abdenbi AMIRACHE [initiale CGB-04 le 17/09/2025 → améliorée CGB-01 le 10/10/2025] ; (2) Karim BELARBI [initiale CGB-05 le 17/09/2025 via cabinet Point de Vente → améliorée CGB-02 le 10/10/2025 avec partenaire Eddy BENKETIRA-LOZOWY, société BELLA AIR à constituer] ; (3) ALHIA GREEN/Gilles LEBREUX [CGB-03, offre indivisible couvrant aussi CLUB PALAIS ROYAL]. DLDO initial 17/09/2025 ; possibilité d'offres améliorées exercée le 10/10/2025."
"02 - SAS à associé unique CLUB PALAIS ROYAL","CPR","CLUB PALAIS ROYAL","SAS à associé unique","","878794262","147 bis rue Saint-Honoré, 75001 Paris","EASYGYM","Salle de sport - club de remise en forme, fitness","Redressement judiciaire","2024-10-02","Tribunal des activités économiques de Paris","Maître Marine PACE","SELARL 2M&ASSOCIES (AJ2M)","22 rue de l'Arcade, 75008 Paris","Maître Lucile JOUVE","SELAFA MJA","","2025-09-17","7","3","","Salle de sport / Fitness","Enseigne EASYGYM. Bail commercial 147 bis rue Saint-Honoré 75001 (bailleur PEC MARENGO). Effectif 7 = 5 CDI + 2 apprentis (2 coachs sportifs, 1 assistant manager commercial, 2 personnel accueil/commercial, 2 apprentis). Sûretés inscrites sur le fonds : publication contrat location PEAC France 04/04/2022 (524 620,27€), nantissements BNP PARIBAS 25/02/2022 (270 000€) + CAISSE CRÉDIT AGRICOLE MUTUEL DE PARIS ET D'ILE DE FRANCE. Reste dû : BNP 123 966,18€ au 25/11/2025 ; CA 216 906,13€ au 05/11/2025. 3 offres reçues, 2 candidats : (1) WS HOLDING/Abdenbi AMIRACHE [initiale CPR-03 le 17/09/2025 → améliorée CPR-01 le 10/10/2025] ; (2) ALHIA GREEN/Gilles LEBREUX [CPR-02, offre indivisible couvrant aussi CLUB GRANDS BOULEVARDS]. À noter : l'offre BELLA AIR (BELARBI+LOZOWY, déposée le 10/10/2025 sous CGB-02) mentionnait acquérir les deux fonds CGB+CPR pour exploitation sous l'enseigne ON AIR mais n'a pas été déposée séparément au dossier CPR. DLDO initial 17/09/2025 ; offres améliorées exercées le 10/10/2025. Procédure jumelle de CGB (mêmes AJ/MJ)."
"03 - SCI INSULA","INSULA","SCI INSULA","SCI","","","","","Société Civile Immobilière - détention de 12 emplacements de stationnement","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","8","","Immobilier - Stationnement","SCI INSULA fait partie d'un dossier consolidé de 26 entités en redressement judiciaire (Foncière Melot Gouband / 'Affaire Balthazar', détenue indirectement par MM. Gouband et Melot). Les 26 entités du dossier : SCCV 121 HENRI GINOUX ; SCI 43-45 RUE PIERRE VALETTE ; SCI 60 RUE MARCEL BONNET ; SCI ADELE & FIRMIN ; SCI AEDES ; SCI ARCUEIL MONTREUIL ; SCI ATELIER URBAIN ; SCI DANTON LILAS ; SCI FS & CIE ; SCI GM IMMO ; SCI INSULA ; SCI ISIS ; SCI JEAN RENAUDIE ; SCI L'ATELIER DE MONTREUIL ; SCI LE LOFT ; SCI LES ATELIERS VILLEJUIF GENTILLY ; SCI MARIE MADELEINE ; SCI MAUDAPHNE ; SCI MILORD ; SCI OKABE ; SCI RHEA ; SCI SAINT SULPICE ; SNC ADONIA ; SNC AMIRAL MAIGRET ; SNC COROT ; SNC PRIMEL TREGASTEL LOCATIONS. Bien immobilier de SCI INSULA : 12 emplacements de stationnement. 8 offres reçues couvrant SCI INSULA (la plupart sont des offres globales multi-entités) : (1) CORTONA FRANCE — offre 27 biens (09/01/2026) ; (2) MUVICO/Victor Cohen — initiale 09/02/2026 portion INSULA 40 000€ ; (3) MUVICO — améliorée 02/03/2026 portion INSULA 45 000€ ; (4) VERDOSO SAS — offre globale plan de cession 26 entités 02/03/2026 (offre INSULA-04) ; (5) offre globale jumelle Docusign différent (offre INSULA-05) ; (6) LABRAX INVEST — offre finale 02/03/2026 portefeuille global 21 000 000€ + 1 actif Paris 16e ; (7) MIORCEC — offre modifiée 02/03/2026 recentrée sur AMIRAL MAIGRET (561k€) + INSULA (101 000€ pour 12 parkings) + RHEA (11k€) = 673k€ total ; (8) HOUSEBASE — offre dédiée 02/03/2026 sur 12 parkings 10 000€. DLDO 02/03/2026 (date des offres améliorées). Toutes les offres globales s'appliqueront aussi aux autres SCI/SNC du portefeuille avec des prix individualisés à reporter dans leurs propres CSV."
"03 - société de droit suisse D'EXPLOITATION ET DE GESTION IMMOBILIERES (SEGI)","03-SEGI","Société d'Exploitation et de Gestion Immobilières (SEGI)","SA de droit suisse","381","CHE-102.837.073 (RCS Genève) / SIRET FR 784 275 505 (établissement principal)","Siège : C/O Asterios, 14 boulevard Georges-Favon, 1204 Genève (Suisse) — Principal établissement France : 137 boulevard Raspail, 75006 Paris","SEGI","Administration d'immeubles — gestion patrimoniale d'un immeuble haussmannien (29 lots de copropriété)","Redressement judiciaire","2024-12-05","Tribunal des activités économiques de Paris","Maître Julie LAVOIR","SELARLU ASCAGNE AJ","25 bis rue Jasmin, 75016 Paris","Maître Julia RUTH","SELARL ASTEREN","Monsieur Patrick RENOUARD","2026-02-02","2","19","Aucune","Immobilier — administration d'immeubles haussmannien","Société créée en 1930. Immeuble acquis en décembre 1932 (parcelle AT 22). Dirigeant actuel a acquis les titres en juillet 2021. Restructuration de l'immeuble en cours, autofinancée par les loyers. Difficultés liées à l'inoccupation de certains lots. Principal créancier : La Banque Postale (déclaration de créance privilégiée 28.829.053,27 € — prêt 28.000.000 € consenti suivant acte notarié du 14/04/2023 ayant servi au refinancement d'un prêt précédent ARIOAN qui avait lui-même remboursé un prêt UBS Monaco 2014). Créance chirographaire 181.883,21 €. Hypothèque conventionnelle sur l'immeuble en garantie du prêt. Procès-verbal de carence du 18/12/2024 : absence d'actif mobilier (sauf attestation du Gérant). Bilan 2024 : valeur nette des agencements 234 K€, mobilier 1 K€. 2 salariés (employés d'immeuble) : Madame Meriam ORAPA (depuis 01/08/2008 puis 12/03/2007 selon offres — logée) et Monsieur Finy Siméon GATSOBEAU (logé). Lots n°1 (garage) et n°2 (local commercial RDC) déjà vendus à Huyghens de Participations (Groupe Albin Michel) le 15/04/2023 pour 4.000.000 €. Procédure d'insolvabilité parallèle ouverte en Suisse. Surface totale immeuble : 2.318,40 m² (2.301 m² loi Carrez) répartis sur 8 étages + RDC + sous-sol (caves). 10 appartements loués / 7 lots vacants. Loyer facial annuel : 626.733 € HT HC. Impayés de loyers : 576.341,90 € au 01/11/2025. Mandat de gestion immobilière avec SAS LEFORT & RAIMBERT (03/08/2021). Contrat d'assurance GENERALI PROTECTION IMMEUBLE n°AT811678. Locataires : famille du dirigeant (Madame Nili Pardo, Monsieur Ronit Pardo) + M./Mme Oziel + société EG (Eric Goujou) + sociétés Alinéa/Moret-Bailly/Bouviala + Teitgen & Viottolo + Dialogues et Solutions + Madame Meriam Orapa (bail habitation)."
"04 - SAS DUE TORRI","DT","DUE TORRI","SAS","","P202404228","21 rue Joubert 75009 Paris","Capucci","Restauration","Redressement judiciaire avec mission d'assistance","2024-12-11","Tribunal des activités économiques de Paris","Maître Isabelle Didier","SELAS SPE O3 Partners","67 Boulevard Lannes 75116 Paris","Maître Florence BROUARD-DAUDE","SELARL BDR & ASSOCIES","Monsieur Felix MAYER","2025-07-21","","1","","Restauration","Dirigeant: Yohann ABOUTH. Fonds de commerce ""Capucci"" au 21 rue Joubert - Paris 9e. Bail commercial consenti par SCI Shad Thames Immobilier, loyer 35000 EUR HT/an. Etablissement secondaire au 23 rue Joubert (""Motta"") non inclus dans le périmètre de cession. Revendication CORHOFI SAS identifiée."
"04 - SCI DANTON - LILAS","DANTON","SCI DANTON-LILAS","SCI","","492273669","","","Société Civile Immobilière - détention de locaux à destination d'habitation et de commerce, 303 m² au 2 rue Danton, 93310 Le Pré-Saint-Gervais","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","10","","Immobilier - Habitation et commerce","SCI DANTON-LILAS fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités, dirigée par MM. Gouband et Melot, voir CSV INSULA pour la liste complète). Bien immobilier : locaux 303 m² (habitation + commerce) au 2 rue Danton, 93310 Le Pré-Saint-Gervais. 10 offres reçues : (DANTON-01) HOUSEBASE 501 600€ — HORS PÉRIMÈTRE (cible SNC ADONIA Cachan, PDF mal classé) ; (DANTON-02) PDF scanné illisible ; (DANTON-03) CORTONA FRANCE — offre globale 27 biens (09/01/2026) ; (DANTON-04) MUVICO initiale 09/02/2026 — portion DANTON 520 000€ ; (DANTON-05) MUVICO améliorée 02/03/2026 — portion DANTON 555 000€ ; (DANTON-06) VERDOSO SAS — offre globale plan de cession 26 entités 02/03/2026 (Docusign EBE6E276) ; (DANTON-07) Groupe JADO (Alexandre-Igor / Stéphane ROIG / cabinet MONCEY AVOCATS Augustin LACCOURS) — offre Balthazar VMoncey 09/02/2026 ; (DANTON-08) LABRAX INVEST — offre finale 02/03/2026 portefeuille global 21 000 000€ ; (DANTON-09) autre offre globale multi-entités (Docusign D2E8DBF3) ; (DANTON-10) AEB INVEST — proposition indicative dédiée 720 000€ pour les locaux 303 m². Note : MUVICO offre la 2e meilleure portion sur DANTON (555k€). AEB INVEST est la plus haute offre dédiée (720k€). DLDO 02/03/2026."
"05 - SARL à associé unique MY LITTLE FINGER","05","SARL MY LITTLE FINGER","SARL à associé unique","","512055286","16 avenue de Friedland, 75008 Paris","Le Bistrologist / My Francky's Bar","Restaurant, bar américain, club, sandwicherie, restauration avec/sans débit de boissons — licence IV (4ème catégorie) — exploitation nocturne","Redressement judiciaire","2025-01-07","Tribunal des Activités Économiques de Paris","Me Marine PACE","SELARL 2M & Associés","22 rue de l'Arcade, 75008 Paris","Me Stéphane Gorrias","SCP BTSG","","2026-01-06","3 salariés (1 Chef de partie + 1 Agent d'entretien + 1 Cuisinier/Plongeur)","8","","Restauration / bar / club / nightlife","Dirigeant historique : M. DEMARLE (présence à l'inventaire 05/03/2025). Bail commercial conclu le 1er avril 2009, en tacite reconduction depuis 2018, contentieux en cours avec le bailleur SCI 16 avenue de Friedland (procédure de résiliation engagée par le bailleur, lettres pour nuisances sonores). Commissaire-priseur : SELARL F. WEDRYCHOWSKI – F. MAGNIN (inventaire 5 mars 2025). Dépôt de garantie bail : 13.030,89 €. Congés payés à reprendre : 21.400,73 €. Valorisation mobilier : 36.900 € + agencements 10.000 €. Stocks : 700 €. Audience de dépôt offres : 6 janvier 2026 12h00."
"05 - SNC ADONIA","ADONIA","SNC ADONIA","SNC","","538328295","30 rue Étienne Dolet, 94230 Cachan","","Société en Nom Collectif - détention immeuble résidentiel 253 m² au 30 rue Étienne Dolet, 94230 Cachan","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","10","","Immobilier - Habitation","SNC ADONIA fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités, voir CSV INSULA pour liste complète). Bien : immeuble résidentiel 253 m² au 30 rue Étienne Dolet, 94230 Cachan. RCS Nanterre 538 328 295. 10 offres reçues : IMMOBAIL 500k€, HOUSEBASE 501.6k€ dédiée, Groupe LALEYE (prix nc), CORTONA 27 biens, MUVICO 520k€ (initiale et améliorée, pas de hausse), VERDOSO global, autre global D2E8DBF3, LABRAX 21M€ portfolio, AEB INVEST 650k€ dédiée. Note : AEB INVEST plus haute offre dédiée (650k€). MUVICO 520k€ figée entre 09/02 et 02/03. Le PDF offre1 IMMOBAIL était mal classé dans dossier 03 INSULA / 04 DANTON aussi."
"06 - SAS à associé unique SOREMI FORGE ROYALE","06","SOREMI FORGE ROYALE","SAS à associé unique","","","14-16 rue de la Forge Royale, 75011 Paris","","Détention d'actif immobilier à réhabiliter","Redressement judiciaire","2025-02-11","Tribunal des activités économiques de Paris","Maître Xavier BROUARD / Valentin Bortoli","SELARL FHBX","176 Avenue Charles de Gaulle, 92200 Neuilly-sur-Seine","","","","","","4","","Immobilier","Cession d'actif immobilier isolé (non plan de cession d'entreprise). Actif : ensemble immobilier 14-16 rue de la Forge Royale 75011 Paris — immeubles en pleine propriété à réhabiliter, libre de toute occupation. Surface 1493 m² existant / 1658 m² prévus en projet de réhabilitation mixte (habitations, commerces, activités de service et artisanat). Permis de construire obtenu le 14/08/2025. Cadastré CV n°75. Contact AJ : vanessa.eschylle@fhbx.eu. 4 offres reçues entre 20-21 novembre 2025 dans une fourchette de prix très large (100k€ à 3,5M€)."
"06 - SCI LES ATELIERS VILLEJUIF GENTILLY","ATELIERS_VG","SCI LES ATELIERS VILLEJUIF GENTILLY","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","9","","Immobilier","SCI LES ATELIERS VILLEJUIF GENTILLY fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 250000€ ; MUVICO améliorée : 255000€. DLDO 02/03/2026 (DDO offres améliorées). 9 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"07 - SAS CHEPOOKA","07","CHEPOOKA","SAS","","795138742","39 quai de la Loire, 75019 Paris","Le Pavillon des Canaux","Restauration, bar, programmation culturelle, evenementiel — tiers-lieu sous convention d'occupation temporaire du domaine public (Ville de Paris, batiment 39 quai de la Loire, conclue le 24/07/2013)","Redressement judiciaire","2025-02-27","Tribunal des Activites Economiques de Paris","Maitre Paul-Henri AUDRAS (offre 01) / Maitre Vincent RIQUIN (offres 02 et 03)","SELARL AJ UP / SELAS AJ UP","5 avenue de Messine, 75008 Paris","Maitre Pablo CASTANON","SELARL Asteren","55 rue de Lyon, 75012 Paris","Monsieur Remi GRENIER","2025-11-17","9","3","","Restauration / cafe-bar / tiers-lieu culturel"
"07 - SCI 43-45 RUE PIERRE VALETTE","PIERRE_VALETTE","SCI 43-45 RUE PIERRE VALETTE","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","8","","Immobilier","SCI 43-45 RUE PIERRE VALETTE fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 500000€ ; MUVICO améliorée : 550000€. DLDO 02/03/2026 (DDO offres améliorées). 8 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"08 - SAS HAWKSWELL","08","SAS HAWKSWELL","SAS","","899973994","","HAWKSELL STUDIOS","Studio de developpement de jeux video — projet ""Legends of Awen: Rise of The Fianna""","Redressement judiciaire","","","Maitre Jean-Baptiste ALBERTINI","SELARL DETROIT","35-37 Avenue Sainte-Foy, 92200 Neuilly-sur-Seine","","","","","9","2","","Jeu video","Variantes d'orthographe rencontrees : HAWKSWELL (couverture) / HAWKSELL STUDIOS (texte). SIRET 899 973 994 (extrait offre Endroad). Projet phare : ""Legends of Awen: Rise of The Fianna"" — jeu narratif en cours de developpement. Beneficiaire d'un financement France 2030 / appel a projets ""La Grande Fabrique de l'Image"" (CDC) pour le projet ""Des Histoires sans fin"". Effectif : 9 salaries. 2 offres deposees le 22/01/2026 (Artefacts Studio 1500EUR / Endroad 2000EUR). Fichiers offre_01 = 02_offre1 et offre_02 = 02_offre2 (doublons exacts par taille)."
"08 - SCI ARCUEIL MONTREUIL","ARCUEIL_MONTREUIL","SCI ARCUEIL MONTREUIL","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","12","","Immobilier","SCI ARCUEIL MONTREUIL fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 280000€ ; MUVICO améliorée : 290000€. DLDO 02/03/2026 (DDO offres améliorées). 12 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"09 - SAS à associé unique EZIN & STRAUUS CP - Sigle E&S CP","09","EZIN & STRAUUS CP","SAS à associé unique","100000","501233001","190 boulevard Haussmann, 75008 Paris","EZIN & STRAUUS CP","Exercice de la profession d'expert-comptable et de commissaires aux comptes","Redressement judiciaire","2025-05-15","Tribunal des Activités Économiques de Paris","Me Carole MARTINEZ","SELARL 2M & ASSOCIÉS","22 rue de l'Arcade, 75008 Paris","Me Bernard CORRE","SELARL FIDES","M. Yvon DONVAL","2026-01-15","7","6","","Expertise comptable / Commissariat aux comptes","Président : Eugène EZIN (né 13/12/1972 à Agatogbo, Bénin). Période d'observation initiale jusqu'au 15/11/2025, prorogée au 15/05/2026 (jugement 11/12/2025). Origine difficultés : baisse d'activité, passif fiscal et social (URSSAF Île-de-France créance 351963,97€ sur période 01/01/2020-29/02/2024, demande échéancier 24 mois rejetée). DLDO 15/01/2026 12h00. Une offre améliorée déposée 11/02/2026 (OTSAR avenant) et une le 11/02/2026 (DODO/LIGOT/TOTIER définitive). Adresse data room : E&S - TAX&LAW 190 bd Haussmann 75008 Paris."
